season,time,valid_time,t2m,year
summer,20:00:00,2021-07-17 08:00:00.000000000,15.857450597826086,2021.0
summer,21:00:00,2021-07-17 09:00:00.000000000,14.913673731159419,2021.0
summer,22:00:00,2021-07-17 10:00:00.000000000,14.214270114492754,2021.0
summer,23:00:00,2021-07-17 11:00:00.000000000,13.79022791594203,2021.0
autumn,00:00:00,2021-10-16 00:00:00.000000000,10.058279509157508,2021.0
autumn,01:00:00,2021-10-16 01:00:00.000000000,9.920356161868133,2021.0
autumn,02:00:00,2021-10-16 02:00:00.000000000,9.79577829080586,2021.0
autumn,03:00:00,2021-10-16 03:00:00.000000000,9.688221378153846,2021.0
autumn,04:00:00,2021-10-16 04:00:00.000000000,9.565938193809524,2021.0
autumn,05:00:00,2021-10-16 05:00:00.000000000,9.525063892967033,2021.0
autumn,06:00:00,2021-10-16 06:00:00.000000000,9.51314929223443,2021.0
autumn,07:00:00,2021-10-16 07:00:00.000000000,9.674792744578754,2021.0
autumn,08:00:00,2021-10-16 08:00:00.000000000,10.209528673076923,2021.0
autumn,09:00:00,2021-10-16 09:00:00.000000000,10.995648957527473,2021.0
autumn,10:00:00,2021-10-16 10:00:00.000000000,11.834043956556776,2021.0
autumn,11:00:00,2021-10-16 11:00:00.000000000,12.522859453846154,2021.0
autumn,12:00:00,2021-10-16 12:00:00.000000000,13.010525408058609,2021.0
autumn,13:00:00,2021-10-16 13:00:00.000000000,13.288513078754578,2021.0
autumn,14:00:00,2021-10-16 14:00:00.000000000,13.368542025274726,2021.0
autumn,15:00:00,2021-10-16 15:00:00.000000000,13.193130105494506,2021.0
autumn,16:00:00,2021-10-16 16:00:00.000000000,12.773828878021977,2021.0
autumn,17:00:00,2021-10-16 17:00:00.000000000,12.18880173956044,2021.0
autumn,18:00:00,2021-10-16 18:00:00.000000000,11.591083839926739,2021.0
autumn,19:00:00,2021-10-16 19:00:00.000000000,11.075094816483517,2021.0
autumn,20:00:00,2021-10-16 20:00:00.000000000,10.7197584003663,2021.0
autumn,21:00:00,2021-10-16 21:00:00.000000000,10.495283192673991,2021.0
autumn,22:00:00,2021-10-16 22:00:00.000000000,10.285828412454213,2021.0
autumn,23:00:00,2021-10-16 23:00:00.000000000,10.143962185567766,2021.0
